2026-08-22 13:23:30.054 | INFO     | __main__:main:639 - brain: --once complete
2026-08-22 13:24:58.981 | INFO     | __main__:main:636 - brain: starting (once=True)
2026-08-22 13:24:59.486 | INFO     | __main__:evaluate_once:353 - brain: hit daily cap (12); using fallback
2026-08-22 13:24:59.488 | INFO     | __main__:evaluate_once:381 - brain: bias=neutral conf=0.30 risk=20% max_pos=2 source=fallback next=13:39:59
2026-08-22 13:24:59.489 | INFO     | __main__:main:639 - brain: --once complete
2026-08-22 13:33:11.787 | INFO     | __main__:main:636 - brain: starting (once=True)
2026-08-22 13:33:11.788 | WARNING  | __main__:_load_existing_state:134 - brain: could not read brain_state.json: Unexpected UTF-8 BOM (decode using utf-8-sig): line 1 column 1 (char 0)
2026-08-22 13:33:21.002 | INFO     | __main__:evaluate_once:381 - brain: bias=cautious conf=0.35 risk=15% max_pos=2 source=minimax next=13:48:20
2026-08-22 13:33:21.004 | INFO     | __main__:main:639 - brain: --once complete
2026-08-22 13:40:47.527 | INFO     | __main__:main:636 - brain: starting (once=True)
2026-08-22 13:40:55.331 | INFO     | __main__:evaluate_once:381 - brain: bias=cautious conf=0.35 risk=15% max_pos=2 source=minimax next=13:55:55
2026-08-22 13:40:55.333 | INFO     | __main__:main:639 - brain: --once complete
2026-08-22 13:56:45.364 | INFO     | __main__:main:636 - brain: starting (once=True)
2026-08-22 13:56:48.763 | INFO     | __main__:evaluate_once:381 - brain: bias=cautious conf=0.35 risk=15% max_pos=2 source=minimax next=14:11:48
2026-08-22 13:56:48.763 | INFO     | __main__:main:639 - brain: --once complete
2026-08-22 14:12:35.303 | INFO     | __main__:main:656 - brain: starting (once=True)
2026-08-22 14:12:41.808 | INFO     | __main__:evaluate_once:401 - brain: bias=neutral conf=0.72 risk=25% max_pos=4 source=minimax next=14:27:41
2026-08-22 14:12:41.810 | INFO     | __main__:main:659 - brain: --once complete
2026-08-22 14:28:28.572 | INFO     | __main__:main:656 - brain: starting (once=True)
2026-08-22 14:28:34.048 | INFO     | __main__:evaluate_once:401 - brain: bias=neutral conf=0.72 risk=18% max_pos=2 source=minimax next=14:43:34
2026-08-22 14:28:34.049 | INFO     | __main__:main:659 - brain: --once complete
2026-08-22 14:44:17.324 | INFO     | __main__:main:656 - brain: starting (once=True)
2026-08-22 14:44:23.520 | INFO     | __main__:evaluate_once:401 - brain: bias=neutral conf=0.72 risk=25% max_pos=3 source=minimax next=14:59:23
2026-08-22 14:44:23.521 | INFO     | __main__:main:659 - brain: --once complete
2026-08-22 14:50:49.979 | INFO     | __main__:main:656 - brain: starting (once=True)
2026-08-22 14:50:53.658 | INFO     | __main__:evaluate_once:401 - brain: bias=neutral conf=0.62 risk=15% max_pos=4 source=minimax next=15:05:53
2026-08-22 14:50:53.658 | INFO     | __main__:main:659 - brain: --once complete
2026-08-22 14:51:26.283 | INFO     | __main__:main:656 - brain: starting (once=True)
2026-08-22 14:51:30.458 | INFO     | __main__:evaluate_once:401 - brain: bias=neutral conf=0.65 risk=25% max_pos=3 source=minimax next=15:06:30
2026-08-22 14:51:30.459 | INFO     | __main__:main:659 - brain: --once complete
2026-08-22 14:52:22.053 | INFO     | __main__:main:656 - brain: starting (once=True)
2026-08-22 14:52:27.387 | INFO     | __main__:evaluate_once:401 - brain: bias=neutral conf=0.62 risk=18% max_pos=3 source=minimax next=15:07:27
2026-08-22 14:52:27.388 | INFO     | __main__:main:659 - brain: --once complete
